status
Statement executed successfully.

status
Statement executed successfully.

ATTACHMENT_SOURCE,TRANSACTION_ID,PAYOFF_LOAN_ID,PAYOFFUID,LOANID,LOAN_TRANSACTION_DATE,APPLY_DATE,REVERSAL_DATE,LAST_UPDATED_DATE,LOAN_TRANSACTION_TYPE,DESCRIPTION,LOAN_TRANSACTION_AMOUNT,PAYMENT_FLAG,LOAN_PRINCIPAL,LOAN_INTEREST,STARTING_BALANCE,ENDING_BALANCE,POSTCHARGEOFFEVENT,CHARGEOFFEVENTIND,LOAN_REVERSED,LOAN_REJECTED,LOAN_CLEARED,ORIGINATION_DATE,LOAN_AMOUNT,TERM,INTEREST_RATE,LOAN_CLOSED_DATE,CHARGE_OFF_DATE
Attachment_B,8569567,128641,80fb2d26-1eef-4152-a31f-a5a107f9d079,128641,2025-05-13,2025-05-14,,2025-05-13T21:01:12,Payment,Regular: Transaction ID 8569567,357.17,True,157.26,199.91,11500.00,11342.74,False,False,0,0,1,2025-04-14,11500.0000,48.00000,21.1500,,
Attachment_B,8630888,128641,80fb2d26-1eef-4152-a31f-a5a107f9d079,128641,2025-06-13,2025-06-14,,2025-06-13T21:01:08,Payment,Regular: Transaction ID 8630888,357.17,True,153.42,203.75,11342.74,11189.32,False,False,0,0,1,2025-04-14,11500.0000,48.00000,21.1500,,
Attachment_B,8636951,310636,822ea740-6a41-459a-82d5-a02e1191c80e,310636,2025-06-15,2025-06-16,,2025-06-15T21:00:32,Payment,Regular: Transaction ID 8636951,570.88,True,251.07,319.81,15500.00,15248.93,False,False,0,0,1,2025-05-08,15500.0000,36.00000,19.3100,,
Attachment_B,8661805,357078,825ebbc8-820d-4028-aeaf-f2a5daa60c6e,357078,2025-06-29,2025-06-30,2025-07-02,2025-06-29T21:00:31,Payment,Regular: Transaction ID 8661805,483.82,True,358.55,125.27,9641.45,9282.90,False,False,1,0,0,2025-05-30,10000.0000,24.00000,14.7500,,
Attachment_B,8642936,356591,82c240a7-30e1-4e55-aecc-fa3f433c8784,356591,2025-06-18,2025-06-19,,2025-06-18T21:01:22,Payment,Regular: Transaction ID 8642936,1088.09,True,624.36,463.73,30000.00,29375.64,False,False,0,0,1,2025-05-19,30000.0000,36.00000,18.2000,,
Attachment_B,8645723,356597,837b1110-553f-446d-9d62-232e04b6a6bb,356597,2025-06-20,2025-06-20,,2025-06-20T14:18:25,Payment,Regular: Transaction ID 8645723,598.57,True,154.65,443.92,20500.00,20345.35,False,False,0,0,1,2025-05-19,20500.0000,60.00000,24.7000,,
Attachment_B,8617209,294009,86da8178-a07c-44be-aba7-0d5d2ac985e8,294009,2025-06-06,2025-06-06,,2025-06-06T12:05:16,Payment,Regular: Transaction ID 8617209,700.00,True,244.86,455.14,25000.00,24755.14,False,False,0,0,1,2025-05-07,25000.0000,60.00000,22.1500,,
Attachment_B,8619126,294017,874829a0-48cb-4643-ba86-526a2a00dbf5,294017,2025-06-06,2025-06-07,,2025-06-06T21:01:22,Payment,Regular: Transaction ID 8619126,533.01,True,189.04,343.97,20000.00,19810.96,False,False,0,0,1,2025-05-07,20000.0000,60.00000,20.2500,,
Attachment_B,8600768,173906,882853ac-6f89-4645-84a3-a07ffa6899ab,173906,2025-05-27,2025-05-28,,2025-05-27T21:01:47,Payment,Regular: Transaction ID 8600768,559.45,True,414.64,144.81,11500.00,11085.36,False,False,0,0,1,2025-04-28,11500.0000,24.00000,15.3200,,
Attachment_B,8660549,173906,882853ac-6f89-4645-84a3-a07ffa6899ab,173906,2025-06-27,2025-06-28,,2025-06-27T21:01:52,Payment,Regular: Transaction ID 8660549,559.45,True,415.21,144.24,11085.36,10670.15,False,False,0,0,1,2025-04-28,11500.0000,24.00000,15.3200,,
